School,Standard Score,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
Alliance Marine - Innovation and Technology 6-12 Complex,71.2,Alliance Marine - Innovation and Techn 6-12 Complex District,Sun Valley,91352,Los Angeles County,Yes,Yes,No,No,733,35.1,20.8,0.88,0.01,0.01,0.02,0.87,0,0.02,0.07
Casa Grande High,71.2,Petaluma Joint Union High,Petaluma,94954,Sonoma County,No,No,No,No,1724,73.3,23.5,0.36,0.02,0.01,0.05,0.4,0,0.04,0.49
Contra Costa School of Performing Arts,71.1,Contra Costa School of Performing Arts District,Walnut Creek,94598,Contra Costa County,(n/a),Yes,No,No,471,17.4,26.9,0.23,0.1,0.01,0.04,0.25,0,0.1,0.49
James C. Enochs High,71,Modesto City High,Modesto,95355,Stanislaus County,No,No,No,No,2324,89.3,26,0.4,0.03,0,0.11,0.44,0.01,0.07,0.34
Bishop Union High,71,Bishop Unified,Bishop,93514,Inyo County,No,No,No,No,583,27.5,21.2,0.45,0,0.14,0.01,0.36,0,0.07,0.41
California Pacific Charter - San Diego,70.9,California Pacific Charter - San Diego District,Newport Beach,92660,San Diego County,(n/a),Yes,No,Yes,1133,77.9,14.5,0.3,0.02,0,0.1,0.26,0,0.13,0.49
Santa Fe High,70.8,Whittier Union High,Santa Fe Springs,90670,Los Angeles County,Yes,No,No,No,2156,83.9,25.6,0.76,0.02,0,0.02,0.9,0,0,0.05
Stockdale High,70.8,Kern High,Bakersfield,93311,Kern County,Yes,No,No,No,2323,80,29,0.36,0.06,0.01,0.19,0.44,0,0.05,0.26
Escalon High,70.6,Escalon Unified,Escalon,95320,San Joaquin County,No,No,No,No,803,36.1,22.2,0.46,0,0,0.02,0.52,0,0.02,0.44
Twentynine Palms High,70.5,Morongo Unified,Twentynine Palms,92277,San Bernardino County,No,No,No,No,860,36.5,23.5,0.69,0.16,0.01,0.04,0.31,0.02,0.01,0.45
Ventura High,70.5,Ventura Unified,Ventura,93001,Ventura County,No,No,No,No,2072,87,23.7,0.59,0.01,0.01,0.02,0.54,0,0.03,0.39
San Marcos Senior High,70.3,Santa Barbara Unified,Santa Barbara,93110,Santa Barbara County,Yes,No,No,No,2043,86.1,23.7,0.47,0.01,0,0.04,0.56,0,0.01,0.38
Rancho Buena Vista High,70.3,Vista Unified,Vista,92081,San Diego County,Yes,No,No,No,2101,101.2,20.7,0.56,0.02,0.01,0.05,0.61,0.01,0.05,0.26
Calabasas High,70.2,Las Virgenes Unified,Calabasas,91302,Los Angeles County,No,No,No,No,2005,75.7,26.4,0.12,0.05,0,0.06,0.09,0,0.02,0.78
Aptos High,70.2,Pajaro Valley Unified,Aptos,95003,Santa Cruz County,No,No,No,No,1432,58.5,24.4,0.41,0.01,0,0.04,0.41,0,0.01,0.52
Liberty Ranch High,70.1,Galt Joint Union High,Galt,95632,Sacramento County,Yes,No,No,No,1180,54.5,21.6,0.49,0.03,0,0.02,0.44,0,0.08,0.43
Capuchino High,70.1,San Mateo Union High,San Bruno,94066,San Mateo County,Yes,No,No,No,1187,61.1,19.4,0.37,0.01,0,0.21,0.49,0.04,0.22,0.04
Tracy High,70,Tracy Joint Unified,Tracy,95376,San Joaquin County,No,No,No,No,1999,80.8,24.7,0.37,0.05,0.01,0.14,0.46,0,0.03,0.31
Mammoth High,70,Mammoth Unified,Mammoth Lakes,93546,Mono County,No,No,No,No,361,18.6,19.3,0.44,0,0,0.02,0.53,0,0.03,0.42
Tehachapi High,70,Tehachapi Unified,Tehachapi,93561,Kern County,No,No,No,No,1249,55,22.6,0.36,0.02,0,0.02,0.32,0,0.01,0.63
Lincoln (Abraham) High,69.9,San Francisco Unified,San Francisco,94116,San Francisco County,No,No,No,No,2070,87.9,23.5,0.49,0.06,0,0.52,0.25,0,0.08,0.1
Fairfax Senior High,69.9,Los Angeles Unified,Los Angeles,90046,Los Angeles County,Yes,No,Yes,No,1827,81.3,22.4,0.8,0.15,0,0.19,0.59,0,0,0.07
Golden Sierra Junior Senior High,69.9,Black Oak Mine Unified,Garden Valley,95633,El Dorado County,No,No,No,No,500,22.5,22.1,0.44,0.01,0.03,0.01,0.11,0,0.01,0.83
John H. Pitman High,69.8,Turlock Unified,Turlock,95382,Stanislaus County,No,No,No,No,2080,91.7,22.6,0.54,0.02,0.01,0.08,0.53,0.01,0.02,0.33
NOVA Academy - Coachella,69.8,NOVA Academy - Coachella District,Coachella,92236,Riverside County,Yes,Yes,No,No,226,8,28.2,0.93,0,0,0,0.99,0,0,0
Academy of Medical Arts at Carson High,69.8,Los Angeles Unified,Carson,90745,Los Angeles County,Yes,No,No,No,517,25,20.6,0.64,0.11,0,0.43,0.4,0.03,0,0.03
Ednovate - Legacy College Prep.,69.8,Ednovate - Legacy College Prep. District,Santa Ana,92705,Orange County,Yes,Yes,No,No,305,18,16.9,0.71,0,0,0.01,0.96,0,0,0.02
New Designs Charter,69.8,New Designs Charter District,Los Angeles,90007,Los Angeles County,Yes,Yes,No,No,855,32,26.7,0.92,0.11,0,0,0.88,0,0,0
Circle of Independent Learning,69.8,Fremont Unified,Fremont,94538,Alameda County,No,Yes,No,No,368,15.6,23.5,0.32,0.02,0,0.45,0.24,0.01,0.05,0.22
Girls Academic Leadership Academy Dr. Michelle King School STEM,69.7,Los Angeles Unified,Los Angeles,90019,Los Angeles County,No,No,No,No,480,,,0.42,0.25,0,0.13,0.32,0,0,0.3
Shasta High,69.6,Shasta Union High,Redding,96001,Shasta County,Yes,No,No,No,1521,67.7,22.4,0.37,0.02,0.04,0.05,0.13,0.01,0.06,0.7
Grover Cleveland Charter High,69.6,Los Angeles Unified,Reseda,91335,Los Angeles County,Yes,Yes,Yes,No,3115,117.3,26.5,0.65,0.04,0,0.19,0.6,0,0,0.17
Tustin Connect,69.5,Tustin Unified,Tustin,92780,Orange County,No,No,No,Yes,132,4,33,0.25,0.01,0.01,0.14,0.27,0.01,0.08,0.49
Waterford High,69.5,Waterford Unified,Waterford,95386,Stanislaus County,Yes,No,No,No,623,26.6,23.4,0.74,0.01,0.01,0.01,0.63,0,0.01,0.34
Benicia High,69.5,Benicia Unified,Benicia,94510,Solano County,No,No,No,No,1555,69.4,22.4,0.21,0.08,0,0.15,0.18,0,0.14,0.44
Granite Hills High,69.4,Grossmont Union High,El Cajon,92019,San Diego County,Yes,No,No,No,2294,85.9,26.6,0.55,0.02,0.01,0.02,0.38,0.01,0.05,0.51
California Virtual Academy at Sutter,69.4,California Virtual Academy at Sutter District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,941,30.2,31.1,0.58,0.17,0.02,0.08,0.16,0.01,0.08,0.49
Animo Inglewood Charter High,69.3,Animo Inglewood Charter High District,Inglewood,90305,Los Angeles County,Yes,Yes,No,No,632,30,21,0.97,0.08,0,0,0.9,0,0.01,0
Calaveras High,69.2,Calaveras Unified,San Andreas,95249,Calaveras County,No,No,No,No,825,38.6,21.3,0.47,0.01,0.02,0.03,0.19,0,0.03,0.72
Marshall Fundamental,69.2,Pasadena Unified,Pasadena,91104,Los Angeles County,Yes,No,No,No,1987,77.4,25.6,0.59,0.08,0,0.07,0.6,0,0.04,0.21
El Diamante High,69.1,Visalia Unified,Visalia,93277,Tulare County,Yes,No,No,No,2061,84.2,24.4,0.59,0.02,0.01,0.05,0.61,0,0.03,0.29
Grossmont High,69.1,Grossmont Union High,La Mesa,91944,San Diego County,Yes,No,No,No,2219,88.5,25,0.57,0.07,0.01,0.05,0.4,0.01,0.07,0.4
Westmoor High,69,Jefferson Union High,Daly City,94015,San Mateo County,No,No,No,No,1526,67.6,22.5,0.32,0.01,0,0.67,0.22,0.01,0.05,0.06
Arroyo High,69,San Lorenzo Unified,San Lorenzo,94580,Alameda County,No,No,No,No,1819,77.9,23.3,0.49,0.07,0,0.31,0.47,0.01,0.03,0.11
Santa Rosa High,68.9,Santa Rosa High,Santa Rosa,95401,Sonoma County,Yes,No,No,No,1948,86,22.6,0.37,0.02,0.01,0.06,0.39,0.01,0.08,0.45
Charter Oak High,68.8,Charter Oak Unified,Covina,91724,Los Angeles County,No,No,No,No,1467,59,24.8,0.51,0.03,0,0.08,0.66,0,0.03,0.19
Big Bear High,68.8,Bear Valley Unified,Big Bear Lake,92314,San Bernardino County,No,No,No,No,717,32.8,21.8,0.68,0.01,0,0.01,0.35,0,0.03,0.6
Tokay High,68.8,Lodi Unified,Lodi,95240,San Joaquin County,No,No,No,No,2061,93.3,22,0.66,0.01,0,0.13,0.58,0,0.03,0.25
Monrovia High,68.7,Monrovia Unified,Monrovia,91016,Los Angeles County,No,No,Yes,No,1617,66.5,24.2,0.5,0.07,0,0.08,0.61,0,0.04,0.2
Northern United - Humboldt Charter,68.7,Northern United - Humboldt Charter District,Eureka,95503,Humboldt County,Yes,Yes,No,No,418,22.8,18.2,0.69,0.01,0.03,0.01,0.15,0,0.11,0.7
Paloma Valley High,68.7,Perris Union High,Menifee,92584,Riverside County,No,No,No,No,3146,120.2,26.1,0.48,0.06,0,0.07,0.5,0,0.06,0.31
Mission Bay High,68.7,San Diego Unified,San Diego,92109,San Diego County,Yes,No,Yes,No,1117,54.1,20.6,0.55,0.05,0,0.04,0.52,0.01,0.07,0.32
Yucaipa High,68.6,Yucaipa-Calimesa Joint Unified,Yucaipa,92399,San Bernardino County,Yes,No,No,No,2829,117.8,24,0.46,0.02,0,0.02,0.42,0,0.01,0.53
Amador High,68.6,Amador County Unified,Sutter Creek,95685,Amador County,Yes,No,No,No,694,28.6,24.2,0.36,0.01,0.02,0.01,0.17,0,0.08,0.72
California Virtual Academy San Mateo,68.6,California Virtual Academy San Mateo District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,853,27.4,31.1,0.45,0.1,0.02,0.17,0.22,0.02,0.07,0.41
American Indian Public High,68.6,American Indian Public High District,Oakland,94607,Alameda County,Yes,Yes,No,No,411,16.4,25,0.71,0.23,0.01,0.55,0.15,0,0,0.06
Magnolia Science Academy Santa Ana,68.5,Magnolia Science Academy Santa Ana District,Santa Ana,92703,Orange County,Yes,Yes,No,No,674,33,20.3,0.79,0.01,0.01,0.03,0.89,0,0.01,0.06
Argonaut High,68.4,Amador County Unified,Jackson,95642,Amador County,Yes,No,No,No,474,22.3,21.2,0.36,0.01,0.02,0.02,0.23,0,0.07,0.65
Turlock High,68.2,Turlock Unified,Turlock,95380,Stanislaus County,No,No,No,No,2528,109.8,23,0.63,0.02,0.01,0.03,0.6,0,0.02,0.33
El Modena High,68.2,Orange Unified,Orange,92869,Orange County,No,No,No,No,2115,97.2,21.7,0.5,0.02,0,0.08,0.66,0,0.03,0.22
STEM Academy at Bernstein High,68.1,Los Angeles Unified,Hollywood,90028,Los Angeles County,Yes,No,No,No,555,31,17.9,0.98,0.01,0,0.11,0.85,0,0,0.03
Covina High,68.1,Covina-Valley Unified,Covina,91723,Los Angeles County,No,No,No,No,1198,52.5,22.8,0.69,0.03,0,0.1,0.78,0,0.01,0.08
Middle College High,68.1,Los Angeles Unified,Los Angeles,90047,Los Angeles County,Yes,No,No,No,404,15,26.9,0.85,0.37,0,0,0.62,0,0,0.01
Sky Mountain Charter,68.1,Sky Mountain Charter District,Placerville,95667,El Dorado County,Yes,Yes,No,No,1710,71.2,24,0.29,0.04,0,0.06,0.29,0,0.16,0.45
Dixon High,68.1,Dixon Unified,Dixon,95620,Solano County,No,No,No,No,1097,51.4,21.3,0.46,0.02,0.01,0.04,0.54,0.01,0.05,0.34
California Virtual Academy @ San Diego,68.1,California Virtual Academy @ San Diego District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,2139,70.6,30.2,0.55,0.12,0.02,0.05,0.3,0.01,0.07,0.43
Sacramento Charter High,68,Sacramento Charter High District,Sacramento,95820,Sacramento County,Yes,Yes,No,No,633,33.5,18.8,0.69,0.57,0.01,0.02,0.29,0.01,0.1,0.01
Nuview Bridge Early College High,67.9,Nuview Union,Nuevo,92567,Riverside County,No,Yes,No,No,632,25.5,24.7,0.64,0.03,0.01,0.03,0.77,0,0.04,0.12
Anahuacalmecac International Univ Prep of N. America,67.8,Anahuacalmecac International Univ Prep N. America District,Los Angeles,90032,Los Angeles County,Yes,Yes,No,No,312,16.3,19.1,0.83,0.01,0.02,0,0.92,0,0.03,0.03
Oak Park Independent,67.8,Oak Park Unified,Oak Park,91377,Ventura County,Yes,No,No,No,209,7.7,27.1,0.08,0.1,0.01,0.02,0.14,0.01,0.1,0.64
Eagle Rock High,67.8,Los Angeles Unified,Los Angeles,90041,Los Angeles County,Yes,No,Yes,No,2291,97.3,23.5,0.57,0.02,0.01,0.27,0.57,0,0,0.13
Sci Technical Engr Arts and Math at Legacy High School Complex,67.8,Los Angeles Unified,South Gate,90280,Los Angeles County,Yes,No,No,No,608,26.5,22.9,0.9,0,0,0,0.99,0,0,0.01
Exeter Union High,67.8,Exeter Unified,Exeter,93221,Tulare County,Yes,No,No,No,912,38.1,23.8,0.56,0.01,0.01,0.01,0.53,0,0.01,0.43
North Hollywood Senior High,67.8,Los Angeles Unified,North Hollywood,91601,Los Angeles County,Yes,No,Yes,No,2522,98.5,25.6,0.71,0.04,0,0.11,0.68,0,0,0.17
Conservatory of Vocal/Instrumental Arts High,67.7,Conservatory of Vocal/Instrumental Arts High District,Oakland,94619,Alameda County,Yes,Yes,No,No,74,4,18.5,0.55,0.58,0,0.05,0.23,0.01,0.01,0.11
Burbank High,67.7,Burbank Unified,Burbank,91502,Los Angeles County,No,No,No,No,2556,105.6,24.2,0.42,0.03,0,0.1,0.26,0,0.04,0.57
Tulelake High,67.6,Tulelake Basin Joint Unified,Tulelake,96134,Siskiyou County,Yes,No,No,No,171,12.7,13.4,0.83,0.01,0,0,0.8,0,0.02,0.17
Yreka High,67.6,Yreka Union High,Yreka,96097,Siskiyou County,Yes,No,No,No,587,31.7,18.4,0.46,0,0.04,0.02,0.16,0,0.12,0.66
Liberty High,67.4,Kern High,Bakersfield,93312,Kern County,No,No,No,No,2114,79.9,26.4,0.28,0.03,0.01,0.05,0.38,0,0.03,0.49
Montclair High,67.4,Chaffey Joint Union High,Montclair,91763,San Bernardino County,Yes,No,No,No,2882,120,24,0.87,0.01,0,0.05,0.88,0,0.01,0.04
Alder Grove Charter School 2,67.3,Alder Grove Charter School 2 District,Eureka,95501,Humboldt County,Yes,Yes,No,No,477,25.4,18.7,0.68,0.01,0.03,0,0.12,0,0.15,0.7
Oroville High,67.3,Oroville Union High,Oroville,95966,Butte County,Yes,No,No,No,979,43.3,22.6,0.79,0.05,0.09,0.23,0.17,0,0.01,0.45
Aspire Vanguard College Preparatory Academy,67.2,Aspire Vanguard College Preparatory Academy District,Modesto,95351,Stanislaus County,Yes,Yes,No,No,405,14,28.9,0.62,0.05,0.01,0.07,0.66,0,0.07,0.15
Fullerton Union High,67.1,Fullerton Joint Union High,Fullerton,92832,Orange County,Yes,No,Yes,No,1979,71.4,27.7,0.51,0.02,0,0.08,0.66,0,0.03,0.2
Monterey Trail High,67.1,Elk Grove Unified,Elk Grove,95624,Sacramento County,Yes,No,No,No,2288,102.5,22.3,0.65,0.15,0.01,0.43,0.25,0.03,0.06,0.06
Public Safety Academy,67,Public Safety Academy District,San Bernardino,92408,San Bernardino County,Yes,Yes,No,No,416,18,23.1,0.91,0.02,0.01,0,0.92,0,0.01,0.04
North Point Academy,67,Nevada Joint Union High,Grass Valley,95945,Nevada County,No,No,No,Yes,85,3.2,26.5,0.53,0.01,0.01,0.01,0.09,0,0.05,0.82
Western High,67,Anaheim Union High,Anaheim,92804,Orange County,Yes,No,No,No,1942,74.9,25.9,0.8,0.03,0.01,0.15,0.71,0.01,0.01,0.08
Polytechnic High,66.9,Long Beach Unified,Long Beach,90813,Los Angeles County,No,No,Yes,No,4026,161.2,24.9,0.68,0.16,0,0.22,0.48,0.01,0.04,0.09
Bolsa Grande High,66.9,Garden Grove Unified,Garden Grove,92844,Orange County,Yes,No,No,No,1961,76.1,25.7,0.71,0,0,0.61,0.34,0.01,0.01,0.03
Ukiah High,66.8,Ukiah Unified,Ukiah,95482,Mendocino County,Yes,No,No,No,1619,82.2,19.6,0.73,0.01,0.04,0.02,0.51,0,0.03,0.4
Chico High,66.8,Chico Unified,Chico,95926,Butte County,No,No,No,No,1740,76,22.8,0.41,0.03,0.01,0.05,0.26,0,0.06,0.58
Orthopaedic Hospital,66.8,Los Angeles Unified,Los Angeles,90007,Los Angeles County,Yes,No,Yes,No,839,36.8,22.7,0.93,0.03,0,0.02,0.94,0,0,0.01
Laytonville High,66.8,Laytonville Unified,Laytonville,95454,Mendocino County,Yes,No,No,No,110,9.6,11.4,0.66,0.01,0.18,0,0.11,0,0.08,0.62
Valley International Preparatory High,66.7,Valley International Preparatory High District,Chatsworth,91311,Los Angeles County,(n/a),Yes,No,No,206,13.5,15.2,0.24,0.03,0,0.02,0.17,0,0.07,0.71
Temescal Canyon High,66.7,Lake Elsinore Unified,Lake Elsinore,92532,Riverside County,No,No,No,No,2157,96.2,22.4,0.54,0.05,0,0.05,0.5,0,0.07,0.32
Stellar Charter,66.7,Redding Elementary,Redding,96001,Shasta County,No,Yes,No,No,216,11.1,19.3,0.51,0,0.01,0.01,0.14,0,0.04,0.81
Linda Esperanza Marquez High B LIBRA Academy,66.7,Los Angeles Unified,Huntington Park,90255,Los Angeles County,Yes,No,No,No,703,26.7,26.2,0.94,0,0,0,0.98,0,0,0.01
Northridge Academy High,66.5,Los Angeles Unified,Northridge,91325,Los Angeles County,Yes,No,No,No,1062,44,24.1,0.71,0.03,0,0.11,0.71,0,0,0.14
Enterprise High,66.3,Shasta Union High,Redding,96002,Shasta County,Yes,No,No,No,1161,55.5,20.9,0.57,0.02,0.03,0.12,0.21,0.01,0.12,0.5
Edison High,66.2,Fresno Unified,Fresno,93706,Fresno County,Yes,No,Yes,No,2597,102.5,25.3,0.79,0.13,0,0.11,0.65,0,0.01,0.1
Vacaville High,66.2,Vacaville Unified,Vacaville,95688,Solano County,No,No,No,No,1943,89.7,21.6,0.34,0.04,0.01,0.06,0.34,0.01,0.07,0.48
Willow Glen High,66.1,San Jose Unified,San Jose,95125,Santa Clara County,No,No,No,No,1737,69.7,24.9,0.37,0.04,0.01,0.09,0.49,0,0.04,0.34
San Diego International Studies,66,San Diego Unified,San Diego,92101,San Diego County,Yes,No,Yes,No,1239,43.6,28.3,0.51,0.06,0,0.03,0.57,0,0.07,0.27
Mt. Whitney High,66,Visalia Unified,Visalia,93277,Tulare County,Yes,No,No,No,1684,71.6,23.5,0.58,0.02,0.01,0.05,0.66,0,0.03,0.22
Galt High,65.9,Galt Joint Union High,Galt,95632,Sacramento County,Yes,No,Yes,No,1000,47.2,21.1,0.64,0.01,0,0.02,0.65,0,0.03,0.3
Making Waves Academy,65.8,Making Waves Academy District,Richmond,94806,Contra Costa County,Yes,Yes,No,No,940,48,19.5,0.83,0.08,0,0.02,0.86,0,0.03,0.01
Portola Junior/Senior High,65.8,Plumas Unified,Portola,96122,Plumas County,No,No,No,No,280,12.8,21.7,0.47,0,0,0,0.27,0,0.06,0.67
Monterey High,65.8,Monterey Peninsula Unified,Monterey,93940,Monterey County,No,No,No,No,1350,57.7,23.3,0.45,0.05,0,0.08,0.5,0.01,0.07,0.29
Antelope High,65.8,Roseville Joint Union High,Antelope,95843,Sacramento County,Yes,No,No,No,1809,74.9,24.1,0.53,0.08,0,0.15,0.2,0.01,0.12,0.44
Environmental Charter High,65.7,Environmental Charter High District,Lawndale,90260,Los Angeles County,Yes,Yes,No,No,523,29.5,17.7,0.82,0.07,0,0.04,0.84,0,0.02,0.04
Sierra Pacific High,65.6,Hanford Joint Union High,Hanford,93230,Kings County,Yes,No,No,No,938,36.2,25.8,0.54,0.04,0.01,0.06,0.58,0,0.02,0.3
Millikan High,65.6,Long Beach Unified,Long Beach,90815,Los Angeles County,No,No,Yes,No,3529,141.9,24.8,0.4,0.09,0,0.08,0.45,0.01,0.06,0.31
Vaughn Next Century Learning Center,65.6,Vaughn Next Century Learning Center District,San Fernando,91340,Los Angeles County,Yes,Yes,No,No,3010,140.8,21.3,0.97,0.01,0,0,0.99,0,0,0.01
Bellflower High,65.4,Bellflower Unified,Bellflower,90706,Los Angeles County,Yes,No,No,No,2434,104.7,23.2,0.79,0.1,0.01,0.05,0.79,0.01,0.02,0.03
Dunsmuir High,65.2,Dunsmuir Joint Union High,Dunsmuir,96025,Siskiyou County,Yes,No,No,No,61,6.5,9.3,0.69,0.02,0.02,0,0.18,0,0.15,0.64
Elk Grove High,65.2,Elk Grove Unified,Elk Grove,95624,Sacramento County,No,No,No,No,1879,88.2,21.3,0.37,0.07,0.01,0.14,0.27,0.01,0.11,0.4
Centennial High,65.2,Kern High,Bakersfield,93312,Kern County,Yes,No,No,No,2022,75.9,26.6,0.32,0.03,0.01,0.06,0.31,0,0.02,0.56
Tustin High,65.1,Tustin Unified,Tustin,92780,Orange County,Yes,No,No,No,2285,88,25.9,0.67,0.02,0,0.07,0.78,0.01,0.02,0.11
Palm Desert High,65.1,Desert Sands Unified,Palm Desert,92260,Riverside County,No,No,No,No,2003,73.8,27.1,0.46,0.02,0,0.06,0.47,0,0.03,0.41
East Bay Arts High,65,San Lorenzo Unified,Hayward,94541,Alameda County,No,No,No,No,214,11.1,19.2,0.64,0.13,0.01,0.08,0.63,0.03,0.04,0.09
Downtown College Prep - Alum Rock,65,Downtown College Prep - Alum Rock District,San Jose,95122,Santa Clara County,Yes,Yes,No,No,668,25.5,26.1,0.75,0.02,0,0.05,0.89,0,0.02,0.02
Tulare Union High,65,Tulare Joint Union High,Tulare,93274,Tulare County,Yes,No,No,No,1732,75.1,23,0.7,0.04,0.01,0.01,0.73,0,0.01,0.2
Serrano High,64.9,Snowline Joint Unified,Phelan,92329,San Bernardino County,No,No,No,No,2116,89.1,23.7,0.64,0.05,0.01,0.03,0.49,0,0.05,0.38
Santana High,64.9,Grossmont Union High,Santee,92071,San Diego County,Yes,No,No,No,1616,55.1,29.3,0.46,0.02,0.01,0.03,0.28,0.01,0.07,0.59
Herbert Hoover High,64.8,Glendale Unified,Glendale,91202,Los Angeles County,Yes,No,No,No,1605,69.3,23.1,0.67,0.02,0,0.13,0.23,0,0.01,0.61
San Jacinto Valley Academy,64.7,San Jacinto Valley Academy District,San Jacinto,92583,Riverside County,Yes,Yes,No,No,1436,67,21.4,0.61,0.05,0.01,0.03,0.67,0.01,0.02,0.22
Calipatria High,64.6,Calipatria Unified,Calipatria,92233,Imperial County,Yes,No,No,No,355,20.4,17.4,0.79,0.01,0,0,0.88,0,0,0.11
Palm Springs High,64.6,Palm Springs Unified,Palm Springs,92262,Riverside County,Yes,No,No,No,1659,73.1,22.6,0.8,0.08,0.01,0.07,0.62,0,0.03,0.2
C. K. McClatchy High,64.6,Sacramento City Unified,Sacramento,95818,Sacramento County,Yes,No,No,No,2375,90.4,26.2,0.59,0.09,0.01,0.17,0.43,0.02,0.06,0.22
Charter Community School Home Study Academy,64.6,El Dorado County Office of Education,Placerville,95667,El Dorado County,Yes,Yes,No,No,479,24.2,19.7,0.3,0.02,0.02,0.01,0.15,0,0.08,0.73
Moorpark High,64.5,Moorpark Unified,Moorpark,93021,Ventura County,No,No,No,No,1908,79.5,23.9,0.3,0.01,0,0.07,0.47,0,0.05,0.4
River Oaks Academy,64.5,River Oaks Academy District,Westlake Village,91361,Ventura County,(n/a),Yes,No,No,285,12.4,22.8,0.25,0,0,0.02,0.28,0,0.07,0.63
River Valley High,64.4,Yuba City Unified,Yuba City,95993,Sutter County,Yes,No,No,No,1872,88.5,21.1,0.68,0.02,0,0.33,0.39,0,0.05,0.21
Santiago High,64.3,Garden Grove Unified,Garden Grove,92843,Orange County,Yes,No,No,No,2020,86.3,23.3,0.8,0,0,0.14,0.83,0.01,0.01,0.02
Phillip J Patino School of Entrepreneurship,64.3,Fresno Unified,Fresno,93703,Fresno County,Yes,No,Yes,No,295,13,22.6,0.81,0.07,0,0.06,0.64,0.01,0.01,0.2
Golden Eagle Charter,64.3,Golden Eagle Charter District,Mount Shasta,96067,Siskiyou County,Yes,Yes,No,No,509,33.5,15.1,0.69,0.01,0.04,0,0.17,0,0.1,0.69
Whittier High,64.2,Whittier Union High,Whittier,90601,Los Angeles County,Yes,No,No,No,1876,75.8,24.7,0.77,0.01,0,0.01,0.93,0,0.01,0.04
Rosemont High,64,Sacramento City Unified,Sacramento,95827,Sacramento County,Yes,No,No,No,1311,57.5,22.7,0.67,0.18,0.01,0.13,0.33,0.02,0.07,0.28
Wonderful College Prep Academy,64,Wonderful College Prep Academy District,Delano,93215,Kern County,Yes,Yes,No,No,1535,73,21,0.81,0.01,0,0.03,0.94,0,0.01,0.01
Aveson Global Leadership Academy,64,Aveson Global Leadership Academy District,Altadena,91001,Los Angeles County,Yes,Yes,No,No,428,18.9,22.5,0.32,0.12,0.02,0.04,0.34,0.01,0.05,0.43
Lassen High,63.9,Lassen Union High,Susanville,96130,Lassen County,Yes,No,No,No,778,36.1,21.5,0.33,0.02,0.05,0.02,0.18,0.02,0.04,0.67
Alliance Ouchi-O'Donovan 6-12 Complex,63.9,Alliance Ouchi-O'Donovan 6-12 Complex District,Los Angeles,90043,Los Angeles County,Yes,Yes,No,No,1029,45.6,22.5,0.91,0.06,0,0,0.93,0,0.01,0
Freedom High,63.9,Liberty Union High,Oakley,94561,Contra Costa County,Yes,No,No,No,2589,112.8,22.9,0.39,0.11,0.01,0.08,0.45,0.01,0.02,0.33
El Monte High,63.7,El Monte Union High,El Monte,91731,Los Angeles County,Yes,No,No,No,1738,80.2,21.6,0.95,0,0,0.14,0.86,0,0,0
Oak Grove High,63.7,East Side Union High,San Jose,95123,Santa Clara County,Yes,No,Yes,No,1766,77.9,22.6,0.47,0.05,0,0.27,0.56,0.01,0.04,0.07
Oasis High (Alternative),63.6,Fallbrook Union High,Fallbrook,92028,San Diego County,No,No,No,No,80,4,20,0.4,0.01,0.01,0,0.5,0.01,0.04,0.43
Synergy Quantum Academy,63.6,Synergy Quantum Academy District,Los Angeles,90011,Los Angeles County,Yes,Yes,No,No,553,34,16.2,0.98,0.01,0,0,0.99,0,0,0
Taft Charter High,63.5,Los Angeles Unified,Woodland Hills,91364,Los Angeles County,Yes,Yes,No,No,2338,97,24.1,0.62,0.09,0.01,0.11,0.39,0,0,0.42
Hercules High,63.5,West Contra Costa Unified,Hercules,94547,Contra Costa County,No,No,No,No,867,36.8,23.5,0.43,0.25,0,0.45,0.22,0.01,0.03,0.04
John F. Kennedy High,63.4,Sacramento City Unified,Sacramento,95831,Sacramento County,Yes,No,No,No,2184,95.1,22.9,0.6,0.18,0.01,0.3,0.31,0.02,0.06,0.12
